Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R31","10k","R_0402_1005Metric",174.621600,-65.927900,180.000000,top
"R32","49.9 1/2W","R_0805_2012Metric",181.279800,-66.497200,180.000000,top
"R33","49.9 1/2W","R_0805_2012Metric",183.261000,-71.221600,90.000000,top
"R34","49.9 1/2W","R_0805_2012Metric",186.285500,-71.831200,0.000000,top
"R35","49.9 1/2W","R_0805_2012Metric",190.144400,-71.958200,0.000000,top
"R36","220","R_0402_1005Metric",197.053200,-70.485000,0.000000,top
"R37","3.01k 1%","R_0402_1005Metric",178.257200,-71.577200,90.000000,top
"R38","220","R_0402_1005Metric",178.511200,-53.263800,0.000000,top
"SW1","RESET","SW_SPST_CK_RS282G05A3",118.541800,-133.350000,0.000000,top
"U2","LM3671","TSOT-23-5",101.981000,-123.526600,0.000000,top
"U6","74AHC08","TSSOP-14_4.4x5mm_P0.65mm",133.604000,-127.651600,0.000000,top
"U7","74AHC245","TSSOP-20_4.4x6.5mm_P0.65mm",133.545500,-115.194600,0.000000,top
"U8","74AHC245","TSSOP-20_4.4x6.5mm_P0.65mm",133.731000,-103.267600,0.000000,top
"U9","74AHC373","TSSOP-20_4.4x6.5mm_P0.65mm",133.862000,-90.128100,90.000000,top
"U10","74AHC373","TSSOP-20_4.4x6.5mm_P0.65mm",135.255000,-76.410100,90.000000,top
"U11","74AHC373","TSSOP-20_4.4x6.5mm_P0.65mm",124.456000,-67.014100,90.000000,top
"U12","74AHC138","TSSOP-16_4.4x5mm_P0.65mm",133.731000,-57.039600,0.000000,top
"U13","AS6C6416-55","TSOP-I-48_18.4x12mm_P0.5mm",150.880000,-123.806100,-90.000000,top
"U14","MT29F8G08ABACA","TSOP-I-48_18.4x12mm_P0.5mm",172.303000,-123.496100,-90.000000,top
"U17","ST16C550","TQFP-48_7x7mm_P0.5mm",174.193200,-97.835400,180.000000,top
"U18","CP2102N","CP2102N-QFN20",188.976000,-90.930000,90.000000,top
"U19","74AHC32","TSSOP-14_4.4x5mm_P0.65mm",113.995200,-125.857000,-90.000000,top
"U20","74AHC1GU04","SOT-23-5",119.227600,-125.552200,-90.000000,top
"U21","KSZ8851-16MLL","LQFP-48_7x7mm_P0.5mm",181.711600,-79.324200,180.000000,top
"U23","74AHC1GU04","SOT-23-5",169.164000,-103.733600,90.000000,top
"U24","74AHC1GU04","SOT-23-5",140.741400,-84.861400,-90.000000,top
"Y1","12.00000MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",62.052200,-131.546600,90.000000,top
"Y2","7.3728MHz","Crystal_SMD_0603-4Pin_6.0x3.5mm",171.424600,-86.207600,0.000000,top
"Y3","25MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",175.031400,-72.796400,180.000000,top
